평가요소,난이도,질문 유형 (핵심 평가),예시 질문
IT능력,상,대규모 분산 시스템 및 심화 이론 적용,"분산 시스템에서 데이터의 일관성(Consistency)과 가용성(Availability)은 트레이드 오프 관계에 있다는 CAP 이론에 대해 설명하고, 금융 서비스와 소셜 미디어 서비스에서 각각 어떤 속성을 우선해야 하는지 그 근거를 제시하라."
문제해결능력,하,표준화된 절차 적용 및 신속한 초기 대처,고객 지원 채팅봇이 갑자기 멈춰 고객 문의가 폭주하고 있다. 당신이 담당자라면 1시간 내에 취할 최우선 조치 3단계는 무엇인가?
문제해결능력,하,표준화된 절차 적용 및 신속한 초기 대처,"프로젝트 마감 직전, 필수적인 외부 라이브러리 사용에 법적인 문제가 발견되었다. 문제 해결을 위한 가장 빠르고 현실적인 대안 2가지를 제시하라."
문제해결능력,하,표준화된 절차 적용 및 신속한 초기 대처,다음 분기에 100만 원의 추가 예산이 주어졌다. 이 예산을 팀원 교육(60%)과 업무 장비 업그레이드(40%)로 분배할 때의 근거를 제시하라.
문제해결능력,중,이해관계 조정 및 자원 배분 최적화,"신규 사업 A와 기존 사업 B가 핵심 인력 3명(개발, 기획, 마케팅)을 동시에 요청했다. 두 사업 모두 시급하지만 인력은 보충할 수 없다. 가장 합리적인 인력 배분 및 조정 방안을 설명하라."
문제해결능력,중,이해관계 조정 및 자원 배분 최적화,프로젝트가 예상치 못한 기술적 문제로 인해 완료율 50% 시점에서 비용이 30% 초과되었다. 프로젝트를 중단하지 않고 완료하기 위해 기존 계획을 어떻게 수정하고 자원을 재할당할 것인가?
문제해결능력,중,이해관계 조정 및 자원 배분 최적화,"개발팀은 완벽한 품질을 위해 6개월을 요구하고, 영업팀은 경쟁사 대응을 위해 3개월 내 출시를 주장한다. 당신이 이 프로젝트 매니저라면 어떤 해결책을 제시할 것인가?"
문제해결능력,상,시스템적 사고 및 위기 상황의 전략적 해결,"당신이 만든 핵심 시스템에 심각한 보안 취약점이 발견되어 즉시 서비스를 중단해야 하는 상황이다. 이 상황에서 고객 신뢰 회복, 문제 해결, 법적 책임 검토 등 다층적인 위기 관리 로드맵을 제시하라."
문제해결능력,상,시스템적 사고 및 위기 상황의 전략적 해결,"'지속 가능한 성장'과 '단기 최대 이익 실현'이라는 두 가지 상충하는 목표를 동시에 달성할 수 있는 가상의 비즈니스 모델을 설계하고, 그 모델에서 자원(돈/인력) 배분의 우선순위를 설명하라."
문제해결능력,상,시스템적 사고 및 위기 상황의 전략적 해결,"자율주행 자동차 프로젝트에서, '탑승자의 안전'과 '보행자의 안전'이 충돌하는 상황(트롤리 딜레마)이 발생했을 때, 당신이 이 시스템의 개발자라면 어떤 윤리적 알고리즘 원칙을 적용하여 문제를 해결할 것인가?"
